driverId,name,ssn,location,certified,wage-plan
10,Michael Lee,035-65-6652,"88846 Prince Courts
New Mindyfurt, AZ 68586",N,miles
11,Laura Meadows,808-16-5950,"608 Kemp Locks Apt. 294
Jefferyburgh, IL 47685",Y,hours
12,Alexander Ballard,119-21-8735,"56938 Tonya Mount Suite 006
Stewartmouth, OR 87426",N,miles
13,Vanessa Durham,455-68-4039,"2233 Brittany Road Apt. 144
North Heatherberg, GU 23679",N,hours
14,Teresa Lambert,494-67-5681,"374 Michelle Squares
Rebeccaville, OH 36632",Y,hours
15,Benjamin Hamilton,163-19-5754,"06691 Nicholas Roads Suite 693
Sandymouth, PR 72971",N,hours
16,Sergio Mann,356-16-7476,"USCGC Underwood
FPO AA 32450",Y,miles
17,Denise Vance,792-29-4362,"0787 James Centers
Gallaghershire, PR 25570",Y,hours
18,Gabriela Morgan,771-24-0619,"5458 Torres Valley
Alanton, MH 48322",Y,hours
19,Lindsey Brown,272-54-0759,"355 Sanchez Garden
North Jamesstad, FM 34719",N,hours
20,Carl Greene,272-54-0948,"628 Cunningham Junctions Apt. 587
Chadfurt, VI 73425",N,miles
21,Adam Jones,182-30-2951,"7028 Huff Causeway
West Mitchellville, MO 56345",N,hours
22,Nancy Hooper,549-67-3553,"71279 Daniel Crescent
South Nancyview, NC 38206",Y,hours
23,Thomas Harvey,826-82-7352,"060 Coleman Mews
Weissville, TN 56040",N,hours
24,Alicia Braun,211-91-4158,"19986 Fry Squares Suite 341
East Becky, CT 77193",N,miles
25,Samuel Ramirez,389-76-0292,"345 Gutierrez Light
Davidland, TX 83340",N,hours
26,Brandon Rhodes,868-77-1770,"7297 Patel Square
Harrybury, WY 71120",N,miles
27,Christopher Erickson,654-54-3530,"01115 Wallace Locks
Rossburgh, NH 27900",N,miles
28,Rachel Brewer,240-01-7185,"408 Christopher Rest Apt. 345
Erikberg, WI 14611",N,hours
29,Jerome Esparza,117-59-4898,"267 Gina Wells Apt. 282
Lopezburgh, GA 93974",N,hours
30,Chad Rodriguez,145-21-4710,"154 Ramsey Avenue
Samanthachester, ND 91019",Y,miles
31,Carla Jordan,097-51-3541,"11292 Jorge Burgs
Hendersonhaven, ME 32951",Y,hours
